,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
399,KIA,SORENTO,999000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-sorento-2021-moi-tra-truoc-chi-280tr-giam-gia-soc-xe-san-giao-ngay-415161/,price!!!
420,FORD,RANGER,495000000,,CŨ,2016,,,SỐ SÀN,79000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89974682.htm,price!!!
422,KIA,MORNING,250000000,,CŨ,2011,,,TỰ ĐỘNG,11000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/90254209.htm,price!!!
424,HYUNDAI,GRAND I10,3450000001,,CŨ,2018,,,TỰ ĐỘNG,36868,https://xe.chotot.com/mua-ban-oto-thanh-pho-vinh-nghe-an/90528905.htm,price!!!
429,TOYOTA,INNOVA,385000000,,CŨ,2016,,,SỐ SÀN,65395,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/89898641.htm,price!!!
439,SUBARU,FORESTER,899000000,HỒ CHÍ MINH,MỚI,2021,,MÀU KHÁC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-subaru-forester-2021-gia-tot-tang-100-truoc-ba-415172/,price!!!
440,DONGFENG,DFL3251,695000000,BÌNH DƯƠNG,MỚI,2021,,VÀNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-gia-xe-tai-dongfeng-8-tan-nhap-khau-2022-415177/,price!!!
476,TOYOTA,INNOVA,385000000,,CŨ,2016,,,SỐ SÀN,65158,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/88147464.htm,price!!!
492,MERCEDES BENZ,C CLASS,1370000000,HÀ NỘI,CŨ,2017,NÂU,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2017-4086429,price!!!
495,KIA,CERATO,195000000,HÀ NỘI,CŨ,2007,GHI,ĐEN,TỰ ĐỘNG,218484,https://bonbanh.com/xe-kia-cerato-1.6-at-2007-4080009,price!!!
496,TOYOTA,COROLLA,95000000,HÀ NỘI,CŨ,1998,GHI,TRẮNG,SỐ TAY,168000,https://bonbanh.com/xe-toyota-corolla-xl-1.3-mt-1998-3916972,price!!!
497,VINFAST,LUX SA 2.0,826000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3195378,price!!!
517,TOYOTA,CAMRY,1350000000,HÀ NỘI,CŨ,2015,VÀNG,TRẮNG,TỰ ĐỘNG,62400,https://bonbanh.com/xe-toyota-camry-xle-2.5-at-2015-4039893,price!!!
527,FORD,RANGER,1202000000,HỒ CHÍ MINH,MỚI,2021,ĐEN,XANH,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-3994170,price!!!
536,LANDROVER,RANGE ROVER,4750000000,,CŨ,2016,,,TỰ ĐỘNG,48000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/90161448.htm,price!!!
565,KIA,SORENTO,1289000000,ĐỒNG NAI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0938985930kia-sorento-22d-signature-awd-2021-gia-giam-sau-ho-tro-vay-nhanh-chong-413351/,price!!!
570,TOYOTA,VIOS,448000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/85361567.htm,price!!!
574,FORD,EVEREST,815000000,,CŨ,2019,,,SỐ SÀN,47000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/90136856.htm,price!!!
577,TOYOTA,VIOS,215000000,,CŨ,2007,,,SỐ SÀN,76532,https://xe.chotot.com/mua-ban-oto-huyen-dong-anh-ha-noi/90529723.htm,price!!!
592,FORD,RANGER,1209000000,HÀ NỘI,MỚI,2021,ĐEN,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2021-4091106,price!!!
600,KIA,SORENTO,999000000,ĐỒNG NAI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0938985930kia-sorento-2021-cam-ket-gia-tot-nhat-ho-tro-moi-thu-tuc-nhanh-gon-vay-85-413356/,price!!!
604,THACO,OLLIN,529000000,BÌNH DƯƠNG,MỚI,2021,,XANH DƯƠNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-thaco-ollin120-doi-2021-ho-tro-tra-gop-len-den-75-gia-tri-xe-xem-xe-tai-binh-duong-402010/,price!!!
606,TOYOTA,ZACE,105000,,CŨ,2004,,,SỐ SÀN,2,https://xe.chotot.com/mua-ban-oto-huyen-dong-anh-ha-noi/90226578.htm,price!!!
617,HYUNDAI,GETZ,125000000,,CŨ,2009,,,SỐ SÀN,12000,https://xe.chotot.com/mua-ban-oto-huyen-soc-son-ha-noi/90528860.htm,price!!!
640,TOYOTA,INNOVA,348000000,,CŨ,2016,,,TỰ ĐỘNG,68000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/82215766.htm,price!!!
654,DONGFENG,M3,700000000,BÌNH DƯƠNG,MỚI,2021,,XANH DƯƠNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-xe-tai-chenglong-m3-thung-dai-9m9-415178/,model not in brand
661,KIA,MORNING,227000000,HÀ NAM,CŨ,2018,,ĐEN,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-gia-dinh-thua-xe-de-lai-kia-morning-2018-415218/,price!!!
669,MERCEDES BENZ,GLC,2350000000,HÀ NỘI,CŨ,2019,KEM,ĐỎ,TỰ ĐỘNG,24000,https://bonbanh.com/xe-mercedes_benz-glc-300-amg-2019-4135552,price!!!
672,FORD,RANGER,1165000000,HỒ CHÍ MINH,CŨ,2018,ĐEN,ĐEN,TỰ ĐỘNG,28000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2018-4132223,price!!!
676,TOYOTA,INNOVA,299000000,HÀ NỘI,CŨ,2014,KEM,TRẮNG,SỐ TAY,101000,https://bonbanh.com/xe-toyota-innova-2.0e-2014-3653695,price!!!
678,MERCEDES BENZ,GL,550000000,HÀ NỘI,CŨ,2007,KEM,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-gl-gl-450-4matic-2007-4132332,price!!!
685,LEXUS,RX,3180000000,HÀ NỘI,MỚI,2021,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-lexus-rx-300-2021-4034434,price!!!
696,KIA,MORNING,329000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-kia-morning-at-san-xe-giao-ngay-giam-50-thue-uu-dai-ngap-tran-415263/,price!!!
701,BMW,3 SERIES,730000000,,CŨ,2015,,,TỰ ĐỘNG,6,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/86449920.htm,price!!!
704,HONDA,CIVIC,299000000,,CŨ,2011,,,SỐ SÀN,13000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/89487043.htm,price!!!
705,TOYOTA,CAMRY,975000000,,CŨ,2020,,,TỰ ĐỘNG,20000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/90438330.htm,price!!!
714,MERCEDES BENZ,C CLASS,1399000000,HÀ NỘI,CŨ,2017,MÀU KHÁC,TRẮNG,TỰ ĐỘNG,30000,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2017-4128635,price!!!
719,MITSUBISHI,MIRAGE,350000000,HÀ NỘI,CŨ,2016,NHIỀU MÀU,ĐỎ,TỰ ĐỘNG,7000000,https://bonbanh.com/xe-mitsubishi-mirage-cvt-2016-4135540,price!!!
721,VINFAST,LUX SA 2.0,826000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-4084496,price!!!
723,TOYOTA,INNOVA,235000000,CẦN THƠ,CŨ,2008,GHI,BẠC,SỐ TAY,0,https://bonbanh.com/xe-toyota-innova-g-2008-4126392,price!!!
733,LEXUS,LM300H,6950000000,HỒ CHÍ MINH,MỚI,2020,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-lexus-lm-300h-royal-lounge-2020-ban-7c-giao-xe-ngay-toan-quoc-0844177222-395635/,price!!!
742,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415185/,price!!!
747,TOYOTA,ZACE,320000000,BÌNH DƯƠNG,CŨ,2005,XÁM,GHI,SỐ TAY,74000,https://bonbanh.com/xe-toyota-zace-surf-2005-4135535,price!!!
755,VINFAST,LUX,681695000,,CŨ,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/85422280.htm,price!!!
756,MERCEDES BENZ,GLC,2100000000,,CŨ,2015,,,TỰ ĐỘNG,45000,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/90446138.htm,price!!!
768,KIA,MORNING,175000000,HÀ NỘI,CŨ,2016,GHI,ĐỎ,SỐ TAY,12000,https://bonbanh.com/xe-kia-morning-ex-2016-4118457,price!!!
774,MITSUBISHI,TRITON,795000000,HÀ NỘI,CŨ,2020,GHI,XANH,TỰ ĐỘNG,15000,https://bonbanh.com/xe-mitsubishi-triton-4x4-at-mivec-premium-2020-4109122,price!!!
780,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415105/,price!!!
781,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-giao-ngay-415244/,price!!!
787,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415184/,price!!!
788,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-415186/,price!!!
791,FORD,RANGER,429000000,,CŨ,2015,,,SỐ SÀN,89000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/89683926.htm,price!!!
795,BMW,5 SERIES,1280000000,,CŨ,2014,,,TỰ ĐỘNG,81000,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/90189388.htm,price!!!
801,TOYOTA,INNOVA,520000000,,CŨ,2014,,,TỰ ĐỘNG,46000,https://xe.chotot.com/mua-ban-oto-quan-phu-nhuan-tp-ho-chi-minh/89142790.htm,price!!!
809,HYUNDAI,GRAND STAREX,585000000,HÀ NỘI,CŨ,2014,KEM,BẠC,SỐ TAY,93789,https://bonbanh.com/xe-hyundai-grand_starex-2.5-mt-2014-4112218,price!!!
815,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-giam-gia-dac-biet-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-404694/,price!!!
819,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-2021-moi-gia-tot-chua-tung-co-du-mau-amp-co-xe-giao-ngay-404728/,price!!!
821,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-406973/,price!!!
824,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-xls-at-2021-giao-xe-ngay-ho-tro-vay-len-den-80-bao-dau-ho-so-vay-090-638-1199-404727/,price!!!
825,FORD,RANGER,479000000,HÀ NỘI,CŨ,2017,GHI,XÁM,SỐ TAY,48000,https://bonbanh.com/xe-ford-ranger-xl-2.2l-4x4-mt-2017-4131852,price!!!
843,TOYOTA,VIOS,415000000,HÀ NỘI,CŨ,2020,,ĐEN,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-chinh-chu-ban-toyota-vios-15e-mt-2020-gia-415tr-415269/,price!!!
844,HONDA,CR V,680000000,HỒ CHÍ MINH,CŨ,2016,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-honda-cr-v-20-at-2016-54000-km-full-option-415268/,price!!!
846,LANDROVER,RANGE ROVER,17899000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-land-rover-range-rover-svautobio-2021-moi-gia-tot-co-thuong-luong-lh-0935866636-413319/,price!!!
851,KIA,SEDONA,745000000,,CŨ,2018,,,TỰ ĐỘNG,85000,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/90290005.htm,price!!!
852,TOYOTA,VIOS,420000,,CŨ,2018,,,TỰ ĐỘNG,55000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/90530647.htm,price!!!
887,KIA,CARENS,198000000,THANH HÓA,CŨ,2010,ĐEN,VÀNG,SỐ TAY,86000,https://bonbanh.com/xe-kia-carens-lx-1.6-mt-2010-4133848,price!!!
895,FORD,RANGER,590000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-pickup-xls-at-xls-mt-2021-moi-ha-noi-ho-tro-tra-gop-giao-xe-toan-quoc-415222/,price!!!
905,FORD,RANGER,510000000,HÀ NỘI,CŨ,2016,ĐEN,NÂU,TỰ ĐỘNG,89000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2016-4132470,price!!!
909,CHEVROLET,CRUZE,312000000,HỒ CHÍ MINH,CŨ,2017,ĐEN,GHI,SỐ TAY,70000,https://bonbanh.com/xe-chevrolet-cruze-lt-1.6l-2017-4123967,price!!!
910,FORD,RANGER,1168000000,HÀ NỘI,CŨ,2019,GHI,XANH,TỰ ĐỘNG,29000,https://bonbanh.com/xe-ford-ranger-raptor-2.0l-4x4-at-2019-4130155,price!!!
920,MAZDA,323,68000000,,CŨ,2000,,,SỐ SÀN,12345,https://xe.chotot.com/mua-ban-oto-huyen-vinh-cuu-dong-nai/89810661.htm,price!!!
921,DAEWOO,MATIZ,115000000,,CŨ,2010,,,SỐ SÀN,110000,https://xe.chotot.com/mua-ban-oto-huyen-dong-anh-ha-noi/89957182.htm,price!!!
922,HÃNG KHÁC,DÒNG KHÁC,50000000,,CŨ,2009,,,SỐ SÀN,1000,https://xe.chotot.com/mua-ban-oto-huyen-thach-that-ha-noi/90531038.htm,price!!!
924,KIA,PRIDE,65000000,,CŨ,2001,,,SỐ SÀN,300000,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-dau-mot-binh-duong/90307493.htm,price!!!
927,FORD,RANGER,495000000,,CŨ,2016,,,SỐ SÀN,66000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/90511675.htm,price!!!
950,KIA,MORNING,799000000,HÀ NỘI,CŨ,2021,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-kia-morning-xline-2021-bien-sieu-vip-413410/,price!!!
952,FORD,RANGER,445000000,,CŨ,2015,,,TỰ ĐỘNG,100000,https://xe.chotot.com/mua-ban-oto-huyen-binh-xuyen-vinh-phuc/90531239.htm,price!!!
956,TOYOTA,CORONA,31500000,,CŨ,1981,,,SỐ SÀN,12345,https://xe.chotot.com/mua-ban-oto-huyen-vinh-cuu-dong-nai/88969957.htm,price!!!
961,TOYOTA,INNOVA,130000000,,CŨ,2008,,,SỐ SÀN,300000,https://xe.chotot.com/mua-ban-oto-huyen-cho-gao-tien-giang/90531354.htm,price!!!
982,KIA,MORNING,250000000,HÀ NỘI,CŨ,2011,ĐEN,TRẮNG,TỰ ĐỘNG,110000,https://bonbanh.com/xe-kia-morning--2011-4135524,price!!!
1003,VINFAST,LUX A 2.0,681000000,HÀ NỘI,MỚI,2021,ĐEN,BẠC,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-3938837,price!!!
