name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
FORD,ECOSPORT,646000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ecosport-new-giam-manh-goi-090-638-1199-de-lay-xe-gia-ngon-du-mau-giao-ngay-406595/,
FORD,EVEREST,1035000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-everest-sport-lua-chon-hoan-hao-cho-chuyen-di-cua-ban-giam-tien-mat-len-den-hon-80tr-415180/,
FORD,ECOSPORT,600000000,HỒ CHÍ MINH,MỚI,2021,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-gia-giam-manh-cho-ecosport-goi-090-638-1199-de-lay-xe-gia-ngon-du-mau-giao-ngay-404784/,
FORD,EVEREST,1299000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-everest-titanium-2-cau-giam-tien-mat-len-den-100tr-tang-phu-kien-chinh-hang-415179/,
FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-415186/,
KIA,SONET,579000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444kia-sonet-luxury-du-mau-cam-ket-giao-ngay-thang-12-lien-he-de-duoc-tu-van-415187/,
MERCEDESBENZ,C200,980000000,HỒ CHÍ MINH,CŨ,2016,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-mercedes-c200-model-2017-trang-noi-that-kem-sieu-dep-415189/,brand not in list
KIA,SONET,579000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-0868616444-phien-ban-ban-chay-nhat-kia-sonet-lien-he-tu-van-bang-gia-sonet-khi-thue-ap-dung-415188/,
MERCEDESBENZ,C300,1969000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-c300-amg-2021-moi-ho-chi-minh-uu-dai-tien-mat-va-phu-kien-chi-trong-thang-nay-415196/,brand not in list
MERCEDESBENZ,E200,2310000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-e200-exclusive-2021-uu-dai-cuc-khung-0969893465-415198/,brand not in list
MERCEDESBENZ,E180,2050000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-e180-amg-2021-uu-dai-goi-phu-kien-hap-dan-0969893465-415197/,brand not in list
TOYOTA,VIOS,478000000,HỒ CHÍ MINH,MỚI,2021,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-toyota-vios-2021-ho-tro-truoc-ba-30tr-1-nam-bao-hiem-than-xe-145tr-co-xe-lh-0932142022-352494/,
LANDROVER,RANGE ROVER,3900000000,HÀ NỘI,CŨ,2015,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-landrover-range_rover-autobiography-3.0-2015-3991350,
TOYOTA,COROLLA CROSS,720000000,HƯNG YÊN,MỚI,2021,ĐỎ,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-corolla_cross-1.8g-2021-4054945,
FORD,ECOSPORT,555000000,HÀ NỘI,MỚI,2021,XÁM,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ecosport-titanium-1.5-at-2021-221937,
TOYOTA,FORTUNER,515000000,HỒ CHÍ MINH,CŨ,2012,VÀNG,ĐEN,TỰ ĐỘNG,80000,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2012-4009657,
FORD,F150,5350000000,HÀ NỘI,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-f150-raptor-3.5-v6-2021-3991429,
TOYOTA,COROLLA CROSS,910000000,HƯNG YÊN,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-4057239,
MAZDA,BT50,465000000,THÁI NGUYÊN,CŨ,2016,NÂU,XANH,SỐ TAY,80000,https://bonbanh.com/xe-mazda-bt50-2.2l-4x4-mt-2016-4046765,
TOYOTA,WIGO,352000000,HƯNG YÊN,MỚI,2021,ĐEN,BẠC,SỐ TAY,0,https://bonbanh.com/xe-toyota-wigo-1.2-mt-2021-4054841,
MERCEDES BENZ,S CLASS,3999000000,HỒ CHÍ MINH,CŨ,2019,KEM,TRẮNG,TỰ ĐỘNG,30000,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-luxury-2019-4036052,
MG,ZS,619000000,HỒ CHÍ MINH,MỚI,2021,ĐEN,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-mg-zs-luxury-1.5-at-2wd-2021-3689716,
MG,HS,869000000,HỒ CHÍ MINH,MỚI,2020,ĐỎ,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-mg-hs-trophy-2.0-at-awd-2020-3377830,
MG,ZS,519000000,HỒ CHÍ MINH,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-mg-zs-standard-+-2021-3753282,
TOYOTA,PRADO,1519000000,HẢI PHÒNG,CŨ,2015,ĐEN,TRẮNG,TỰ ĐỘNG,70000,https://bonbanh.com/xe-toyota-prado-txl-2.7l-2015-3935439,
TOYOTA,CAMRY,740000000,HÀ NỘI,CŨ,2011,ĐEN,TRẮNG,TỰ ĐỘNG,50000,https://bonbanh.com/xe-toyota-camry-se-2.5-2011-3731443,
MERCEDESBENZ,C200,1699000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-c200-2021-moi-ho-chi-minh-goi-ngay-de-nhan-gia-tot-va-uu-dai-415195/,brand not in list
MERCEDESBENZ,E300,2950000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-e300-amg-2021-moi-ho-chi-minh-0969893465-415199/,brand not in list
TOYOTA,INNOVA,750000000,HỒ CHÍ MINH,MỚI,2020,,BẠC,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-toyota-innova-2021-tang-3-nam-bao-duong-du-mau-giao-ngay-175tr-co-xe-lh-0932142022-326546/,
FORD,EVEREST,1100000000,HỒ CHÍ MINH,MỚI,2021,,ĐỎ,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-090-638-1199everest-titanium-1-cau-mau-do-giam-gia-dac-biet-cho-lo-cuoi-len-den-80tr-404779/,
MERCEDESBENZ,S450,4969000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-mercedes-benz-s450-new-2021-moi-nhieu-uu-dai-hap-dan-0969893465-415200/,brand not in list
SUZUKI,ERTIGA,517000000,HỒ CHÍ MINH,MỚI,2021,,MÀU KHÁC,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-xe-7-cho-ertiga-2021-gia-5-cho-bank-ho-tro-caochi-can-80-trieu-lan-banh-khong-can-chung-minh-thu-nap-406194/,
TOYOTA,FORTUNER,995000000,HỒ CHÍ MINH,MỚI,2020,,TRẮNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-toyota-fortuner-2021-du-mau-giao-ngay-255tr-co-xe-lh-0932142022-381151/,
HONDA,CR V,1118000000,HỒ CHÍ MINH,MỚI,2020,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-nhan-xe-crv-2021-voi-250trtang-bhvc-goi-pk-km-khung-nhat-duy-nhat-trong-thang-11-397126/,
SUZUKI,XL 7 1,564000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-suzuki-xl7-giam-cuc-soc-ho-tro-gop-cao-chi-can-130tr-lan-banh-xe-co-san-du-mau-giao-ngay-404570/,
DONGFENG,M3,700000000,BÌNH DƯƠNG,MỚI,2021,,XANH DƯƠNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-xe-tai-chenglong-m3-thung-dai-9m9-415178/,model not in brand
HONDA,CR V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-cr-v-cao-cap-2021-nhan-xe-voi-250tr-tang-bhvcgoi-pk-hap-dan-duy-nhat-trong-thang-11-396775/,
DONGBEN,DB,80000000,BÌNH DƯƠNG,MỚI,2021,,ĐEN,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-tai-srm-5-cho-650kg-moi-2021-415214/,mfg not in list
TOYOTA,INNOVA,290000000,HỒ CHÍ MINH,CŨ,2009,,BẠC,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-toyota-innova-g-2009-415191/,
TOYOTA,COROLLA CROSS,820000000,HỒ CHÍ MINH,MỚI,2020,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-toyota-cross-2021-nhap-khau-100-du-mau-265tr-co-xe-lh-0932142022-398285/,
HONDA,CR V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-ba-nhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-406533/,
MERCEDESBENZ,GLC300,2499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-glc300-4-matic-2021-ho-tro-50-thue-trung-thuong-c180-415193/,brand not in list
HONDA,CR V,1118000000,HỒ CHÍ MINH,MỚI,2021,,XÁM,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-honda-cr-v-2021tang-thue-truoc-banhan-xe-voi-250tr-tang-bhvc-goi-pk-duy-nhat-trong-thang-11-406535/,
MERCEDESBENZ,C200,980000000,HỒ CHÍ MINH,CŨ,2017,,TRẮNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-c200-cu-2017-trang-noi-that-kem-gia-tot-415190/,brand not in list
MERCEDESBENZ,GLC200,1799000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-mercedes-benz-glc200-2021-giam-50-truoc-ba-trung-thuong-c180-0969893465-415192/,brand not in list
FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-giam-gia-cuc-manh-len-den-100tr-amp-tang-phu-kien-chinh-hang-lh-0906381199-404738/,
TOYOTA,VIOS,478000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/83336375.htm,
MITSUBISHI,PAJERO,125000000,,CŨ,2000,,,SỐ SÀN,12300,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/80594763.htm,
TOYOTA,LAND CRUISER PRADO,1795000000,,CŨ,2017,,,TỰ ĐỘNG,79000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/89062404.htm,
ISUZU,HI LANDER,175000000,,CŨ,2007,,,SỐ SÀN,200000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/89842415.htm,
TOYOTA,CAMRY,300000000,,CŨ,2005,,,TỰ ĐỘNG,163000,https://xe.chotot.com/mua-ban-oto-huyen-lang-giang-bac-giang/89842413.htm,
HONDA,CIVIC,335000000,,CŨ,2010,,,TỰ ĐỘNG,72800,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/89655439.htm,
TOYOTA,VIOS,290000000,,CŨ,2017,,,SỐ SÀN,68968,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/88153038.htm,
VINFAST,FADIL,366000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/89314145.htm,
KIA,MORNING,295000000,,CŨ,2012,,,TỰ ĐỘNG,70000,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/89286414.htm,price!!!
FORD,RANGER,180000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-hoan-kiem-ha-noi/82890641.htm,price!!!
VINFAST,FADIL,323000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/89438494.htm,
VINFAST,LUX,826000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-hoan-kiem-ha-noi/88482423.htm,
MERCEDES BENZ,E CLASS,2609000000,,CŨ,2021,,,TỰ ĐỘNG,5000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/88659129.htm,
HYUNDAI,GENESIS,670000000,,CŨ,2012,,,TỰ ĐỘNG,50000,https://xe.chotot.com/mua-ban-oto-quan-binh-thanh-tp-ho-chi-minh/88221347.htm,
TOYOTA,FORTUNER,430000000,,CŨ,2009,,,SỐ SÀN,170000,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/89842305.htm,
LEXUS,LS,445000000,,CŨ,2004,,,TỰ ĐỘNG,100000,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/84338103.htm,
HYUNDAI,DÒNG KHÁC,450000000,,CŨ,2014,,,SỐ SÀN,123568,https://xe.chotot.com/mua-ban-oto-huyen-chon-thanh-binh-phuoc/89842344.htm,price!!!
HYUNDAI,ACCENT,90000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-binh-thuy-can-tho/89282486.htm,price!!!
FORD,FOCUS,515000000,,CŨ,2015,,,TỰ ĐỘNG,70000,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/89464465.htm,
FORD,RANGER,656000000,,CŨ,2016,,,TỰ ĐỘNG,65000,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/87507255.htm,
HONDA,ACCORD,130000000,,CŨ,1995,,,SỐ SÀN,216000,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/88756532.htm,
MAZDA,3,555000000,,CŨ,2018,,,TỰ ĐỘNG,40000,https://xe.chotot.com/mua-ban-oto-thi-xa-di-an-binh-duong/89629334.htm,
TOYOTA,CAMRY,545000000,,CŨ,2012,,,TỰ ĐỘNG,60000,https://xe.chotot.com/mua-ban-oto-quan-3-tp-ho-chi-minh/89313220.htm,
TOYOTA,INNOVA,265000000,,CŨ,2009,,,SỐ SÀN,19000,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/89085666.htm,
VINFAST,FADIL,366000000,,CŨ,2021,,,TỰ ĐỘNG,1,https://xe.chotot.com/mua-ban-oto-quan-ba-dinh-ha-noi/89730260.htm,
HYUNDAI,KONA,658000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-6-tp-ho-chi-minh/75833007.htm,
HYUNDAI,ACCENT,539000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/88395234.htm,
HYUNDAI,SANTA FE,1045000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-phu-nhuan-tp-ho-chi-minh/88485464.htm,
NISSAN,NAVARA,530000000,,CŨ,2018,,,TỰ ĐỘNG,60000,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/89553287.htm,
VINFAST,LUX,826000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/89686167.htm,
TOYOTA,FORTUNER,500000000,,CŨ,2013,,,TỰ ĐỘNG,130000,https://xe.chotot.com/mua-ban-oto-huyen-kien-thuy-hai-phong/89842224.htm,
KIA,K3,559000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-hai-ba-trung-ha-noi/88192459.htm,
KIA,CARENS,285000000,,CŨ,2012,,,SỐ SÀN,130000,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/89098810.htm,
VINFAST,LUX,881695000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-hai-ba-trung-ha-noi/78770864.htm,
MERCEDES BENZ,E CLASS,695000000,,CŨ,2011,,,TỰ ĐỘNG,120000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/86985810.htm,
MERCEDES BENZ,C CLASS,1399000000,,CŨ,2020,,,TỰ ĐỘNG,2500,https://xe.chotot.com/mua-ban-oto-quan-3-tp-ho-chi-minh/89724031.htm,
VINFAST,LUX,681695000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/83161306.htm,
KIA,MORNING,182000000,,CŨ,2011,,,TỰ ĐỘNG,14000,https://xe.chotot.com/mua-ban-oto-huyen-dong-anh-ha-noi/87589420.htm,
MAZDA,2,428000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-dong-da-ha-noi/69324618.htm,
HYUNDAI,KONA,580000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-thu-duc-tp-ho-chi-minh/89842243.htm,
MERCEDES BENZ,C CLASS,1350000000,,CŨ,2019,,,TỰ ĐỘNG,25000,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/89688533.htm,
TOYOTA,VIOS,370000000,,CŨ,2017,,,SỐ SÀN,42000,https://xe.chotot.com/mua-ban-oto-thanh-pho-buon-ma-thuot-dak-lak/89842251.htm,
MERCEDES BENZ,C CLASS,1420000000,,CŨ,2018,,,TỰ ĐỘNG,48000,https://xe.chotot.com/mua-ban-oto-quan-cau-giay-ha-noi/89500972.htm,
TOYOTA,INNOVA,350000000,,CŨ,2015,,,SỐ SÀN,80000,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/86528231.htm,
FORD,FOCUS,278000000,,CŨ,2011,,,TỰ ĐỘNG,70000,https://xe.chotot.com/mua-ban-oto-huyen-dong-anh-ha-noi/89663045.htm,
TOYOTA,RUSH,634000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/80331378.htm,
KIA,RONDO,375000000,,CŨ,2017,,,SỐ SÀN,90000,https://xe.chotot.com/mua-ban-oto-quan-11-tp-ho-chi-minh/89389539.htm,
MERCEDES BENZ,E CLASS,1829000000,HỒ CHÍ MINH,CŨ,2019,NÂU,ĐEN,TỰ ĐỘNG,32000,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2019-4021583,
TOYOTA,VIOS,269000000,HÀ NỘI,CŨ,2014,VÀNG,BẠC,SỐ TAY,62737,https://bonbanh.com/xe-toyota-vios-1.5e-2014-4027444,
MERCEDES BENZ,G CLASS,7999000000,HÀ NỘI,MỚI,2021,KEM,ĐỎ,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-g_class-g350d-2021-3853123,
TOYOTA,CAMRY,208000000,HỒ CHÍ MINH,CŨ,1999,KEM,XANH,SỐ TAY,168220,https://bonbanh.com/xe-toyota-camry-gli-2.2-1999-4027427,
VINFAST,LUX SA 2.0,1271000000,HÀ NỘI,MỚI,2021,CAM,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-premium-2.0-at-2021-3611500,
