,name,carmodel,price,location,status,mfg,interiorColor,exteriorColor,gearbox,kilometer,link,note
625,FORD,RANGER,569000000,,CŨ,2018,,,SỐ SÀN,51000,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/90405606.htm,price!!!
629,FORD,RANGER,515000000,,CŨ,2017,,,SỐ SÀN,60000,https://xe.chotot.com/mua-ban-oto-quan-1-tp-ho-chi-minh/90406242.htm,price!!!
631,FORD,RANGER,1200000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/90074016.htm,price!!!
632,KIA,MORNING,13000000,,CŨ,2011,,,SỐ SÀN,200000,https://xe.chotot.com/mua-ban-oto-huyen-thanh-oai-ha-noi/90406314.htm,price!!!
637,THACO,OLLIN,529000000,BÌNH DƯƠNG,MỚI,2021,,XANH DƯƠNG,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-thaco-ollin120-doi-2021-ho-tro-tra-gop-len-den-75-gia-tri-xe-xem-xe-tai-binh-duong-402010/,price!!!
647,VINFAST,LUX SA 2.0,826000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-vinfast-lux_sa_2.0-2.0-at-2021-3195378,price!!!
663,KIA,CARNIVAL,1159,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-bac-tu-liem-ha-noi/90342000.htm,price!!!
671,KIA,MORNING,239000000,,CŨ,2018,,,SỐ SÀN,52000,https://xe.chotot.com/mua-ban-oto-quan-hoan-kiem-ha-noi/89976936.htm,price!!!
682,DAEWOO,NUBIRA,50000000,HÀ NỘI,CŨ,2001,ĐEN,TRẮNG,SỐ TAY,286898,https://bonbanh.com/xe-daewoo-nubira-ii-1.6-2001-4126858,price!!!
688,MAZDA,626,85000000,HỒ CHÍ MINH,CŨ,1995,XÁM,XÁM,SỐ TAY,250000,https://bonbanh.com/xe-mazda-626-2.0-mt-1995-4120054,price!!!
691,TOYOTA,INNOVA,190000000,HẢI DƯƠNG,CŨ,2010,BẠC,BẠC,SỐ TAY,22000,https://bonbanh.com/xe-toyota-innova-2.0mt-2010-4118165,price!!!
696,MITSUBISHI,ATTRAGE,340000000,HÀ NỘI,MỚI,2021,ĐEN,TRẮNG,SỐ TAY,0,https://bonbanh.com/xe-mitsubishi-attrage-1.2-mt-2021-4075809,price!!!
701,LEXUS,RX,3180000000,HÀ NỘI,MỚI,2021,-,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-lexus-rx-300-2021-4034434,price!!!
703,DAEWOO,NUBIRA,100000000,BẾN TRE,CŨ,2001,KEM,XANH,SỐ TAY,200000,https://bonbanh.com/xe-daewoo-nubira--2001-4128850,price!!!
704,FORD,RANGER,515000000,HỒ CHÍ MINH,CŨ,2017,ĐEN,TRẮNG,SỐ TAY,60000,https://bonbanh.com/xe-ford-ranger-2.2l-xls-mt-2017-4128833,price!!!
717,MERCEDES BENZ,GLC,1735000000,,CŨ,2021,,,TỰ ĐỘNG,15000,https://xe.chotot.com/mua-ban-oto-quan-long-bien-ha-noi/90075132.htm,price!!!
720,HYUNDAI,GRAND I10,86000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/90406368.htm,price!!!
728,TOYOTA,FORTUNER,950000000,,MỚI,2021,,,TỰ ĐỘNG,,https://xe.chotot.com/mua-ban-oto-quan-ha-dong-ha-noi/87726546.htm,price!!!
741,FORD,RANGER,569000000,HỒ CHÍ MINH,CŨ,2018,ĐEN,XÁM,-,51000,https://bonbanh.com/xe-ford-ranger--2018-4128843,price!!!
743,KIA,MORNING,227000000,HÀ NAM,CŨ,2018,,ĐEN,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-gia-dinh-thua-xe-de-lai-kia-morning-2018-415218/,price!!!
748,FORD,RANGER,590000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-pickup-xls-at-xls-mt-2021-moi-ha-noi-ho-tro-tra-gop-giao-xe-toan-quoc-415222/,price!!!
749,FORD,RANGER,615000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-ranger-xls-at-2021-moi-toan-quoc-ho-tro-tra-gop-lai-xuat-thap-415223/,price!!!
753,MERCEDES BENZ,S CLASS,2380000000,HÀ NỘI,CŨ,2016,KEM,ĐEN,TỰ ĐỘNG,0,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2016-4113041,price!!!
759,KIA,SORENTO,1069000000,KHÁNH HÒA,MỚI,2021,MÀU KHÁC,TRẮNG,TỰ ĐỘNG,0,https://bonbanh.com/xe-kia-sorento-luxury-2.5-at-2021-3849062,price!!!
762,MERCEDES BENZ,GLC,1720000000,HÀ NỘI,CŨ,2021,ĐEN,ĐEN,TỰ ĐỘNG,1500,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-4116029,price!!!
767,FORD,RANGER,590000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-pickup-xls-at-xls-mt-2021-moi-ha-noi-ho-tro-tra-gop-giao-xe-toan-quoc-415230/,price!!!
788,VINFAST,LUX,1280000000,,CŨ,2019,,,TỰ ĐỘNG,100,https://xe.chotot.com/mua-ban-oto-quan-tan-binh-tp-ho-chi-minh/89166116.htm,price!!!
797,NISSAN,SUNNY,295000000,,CŨ,2014,,,TỰ ĐỘNG,120000,https://xe.chotot.com/mua-ban-oto-huyen-dien-chau-nghe-an/90407342.htm,price!!!
804,TOYOTA,FORTUNER,468000000,HÀ NỘI,CŨ,2020,KEM,XÁM,SỐ TAY,100000,https://bonbanh.com/xe-toyota-fortuner--2020-4128881,price!!!
809,MERCEDES BENZ,SPRINTER,115000000,HƯNG YÊN,CŨ,2008,NHIỀU MÀU,BẠC,SỐ TAY,250000,https://bonbanh.com/xe-mercedes_benz-sprinter-311-cdi-2.2l-2008-4121500,price!!!
813,FORD,RANGER,615000000,HÀ NỘI,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ban-ford-ranger-xls-at-2021-moi-toan-quoc-ho-tro-tra-gop-lai-xuat-thap-415231/,price!!!
817,FORD,RANGER,1205000000,HỒ CHÍ MINH,MỚI,2021,,XANH DƯƠNG,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-raptor-model-2021-sieu-khung-long-ho-tro-gop-80-bao-dau-ho-so-vay-0937442330-389599/,price!!!
822,KIA,MORNING,239000000,HÀ NỘI,CŨ,2018,KEM,VÀNG,SỐ TAY,52000,https://bonbanh.com/xe-kia-morning-ex-2018-4105282,price!!!
836,KIA,CERATO,499000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,SỐ TAY,0,https://www.carmudi.vn/ban-xe-o-to-0902913936-kia-cerato-2021-moi-uu-dai-soc-65-trieu-chi-trong-thang-nay-san-xe-giao-ngay-415164/,price!!!
844,KIA,MORNING,155000000,,CŨ,2010,,,SỐ SÀN,238000,https://xe.chotot.com/mua-ban-oto-huyen-vung-liem-vinh-long/90050239.htm,price!!!
848,FORD,RANGER,495000000,,CŨ,2016,,,SỐ SÀN,86000,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/90307005.htm,price!!!
859,MERCEDES BENZ,E CLASS,839000000,HÀ NỘI,CŨ,2014,ĐEN,TRẮNG,TỰ ĐỘNG,7600,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2014-4023234,price!!!
871,LEXUS,LM300H,6950000000,HỒ CHÍ MINH,MỚI,2020,,ĐEN,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-lexus-lm-300h-royal-lounge-2020-ban-7c-giao-xe-ngay-toan-quoc-0844177222-395635/,price!!!
885,FORD,RANGER,650000000,HÀ NỘI,MỚI,2021,GHI,XÁM,TỰ ĐỘNG,0,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2021-4052223,price!!!
886,CHEVROLET,CRUZE,312000000,HỒ CHÍ MINH,CŨ,2017,ĐEN,GHI,SỐ TAY,70000,https://bonbanh.com/xe-chevrolet-cruze-lt-1.6l-2017-4123967,price!!!
891,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415185/,price!!!
896,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415105/,price!!!
897,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-giao-ngay-415244/,price!!!
902,FORD,RANGER,535000000,HÀ NỘI,CŨ,2017,KEM,VÀNG,TỰ ĐỘNG,55000,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2017-4119503,price!!!
903,KIA,CARENS,198000000,THANH HÓA,CŨ,2010,ĐEN,VÀNG,SỐ TAY,86000,https://bonbanh.com/xe-kia-carens-lx-1.6-mt-2010-4125241,price!!!
905,TOYOTA,LAND CRUISER,2750000000,HÀ NỘI,CŨ,2012,KEM,TRẮNG,TỰ ĐỘNG,100000,https://bonbanh.com/xe-toyota-land_cruiser-vxr-2012-4128849,price!!!
912,KIA,MORNING,199000000,,CŨ,2016,,,SỐ SÀN,83000,https://xe.chotot.com/mua-ban-oto-thi-xa-an-khe-gia-lai/90407016.htm,price!!!
923,HYUNDAI,ACCENT,389000000,,MỚI,2021,,,SỐ SÀN,,https://xe.chotot.com/mua-ban-oto-quan-9-tp-ho-chi-minh/88352568.htm,price!!!
925,FORD,RANGER,630000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ford-ranger-xls-at-2021-bung-no-khuyen-mai-ngap-tran-uu-dai-415184/,price!!!
928,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-ranger-gia-tot-nhat-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-415186/,price!!!
930,FORD,RANGER,618000000,HỒ CHÍ MINH,MỚI,2021,,NHIỀU MÀU,TỰ ĐỘNG,0,https://www.carmudi.vn/ban-xe-o-to-hcm-ranger-giam-gia-dac-biet-duyet-vay-hon-80-du-mau-giao-ngay-call-090-638-1199-404694/,price!!!
